Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
_MXXD,Mexico SE Indice de Precios y Cotizaciones (IPC),Stock Indices - Composites,Mexico Peso,Mexico,,,,,,,Index Number ,Units,Stock,none,Monthly From Jan 1930 To Dec 1984<BR>Daily From Jan 1985 To Oct 2020<BR>,"Sources include Annuario Estadistico de los Estados Unidos Mexicanos, Mexico: Direccion General de Estadistica (1930-1939), Revista de Estadistica Mexico: Direccion General de Estadistica (1940-1971), Banco de Mexico, Indicadores Economicos, Mexico: Banco de Mexico (1972-1992). The general index used before 1972 was a weighted aggregative index with a moving base, chain-linked to the original base, weighted by the value of shares of all companies included and adjusted for new capital and share dividends.  The index was based upon daily prices in Mexico City and compiled by Nacional Financiera. The monthly index was an average of weekly figures.  The current IPC (Indice de Precios y Cotizaciones) Index, which covers about 40 issues, begins in 1972. The base is October 31, 1978 = .78162. Monthly data, including high/low/close are provided from 1972 through 1984. This is a capitalization-weighted price index that includes the 40 representative stocks based upon trading value and volume as well as capitalization, using the Paasche formula with chaining.  Adjustments are made for capitalization changes, and components are reviewed every two months.  The ""Indice de Precios y Cotizaciones"" (IPC) (price and quotes index) is calculated from a sample of shares of enterprises designed for this purpose. The sample used to calculate the IPC is made up of securities representing various sectors of the economy, and is revised twice a year. If a security no longer conforms to the selection criteria, it is replaced by one that does. The relative weight of each stock series in the IPC sample is determined by its market capitalization. The index has national coverage. The base year for the IPC is October 1978 = 0.78. The Mexican Stock Exchange (BMV), located in Mexico City, is responsible for preparing the IPC.  The IPC is considered the broadest indicator of the overall performance of the Mexican Stock Exchange, as reflected in the change in price of a balanced weighted selection (or sampling) of shares that are representative of all the shares listed on the Mexican Stock Exchange.",,
_AORDD,Australia ASX All-Ordinaries (w/GFD extension),Stock Indices - Composites,Australia Dollar,Australia,,,,,,,Index Number ,Units,Stock,none,Monthly From Jan 1825 To Dec 1831<BR>Daily From Dec 1831 To Jan 1832<BR>Monthly From Feb 1832 To Jan 1958<BR>Daily From Jan 1958 To Oct 2020<BR>,"Source: D. McL. Lamberton. Share Price Indices in Australia (Sydney: Law Book Co. of Australasia Pty. Ltd., 1958) and â€œ Economic Growth and Stock Prices: The Australian Experienceâ€, Jour. Bus. Univ. Chicago, xxxi, 3 ( July, 1958).<br />The All Ordinaries index is Australia's premier market indicator. The index represents the 500 largest companies listed on the Australian Stock Exchange. Market capitalisation is the only eligibility requirement of constituents, as liquidity is not considered, with the exception of foreign domiciled companies. The index comprised 99% of the Australian market at June 30, 2002.    The old Sydney indices were replaced in 1958 with a new set of indices that were calculated back to July 1936 by Lamberton and covered over 20 sectors.  Data were calculated back to 1875 on a monthly basis for the industrial and commercial index, and daily data began in January 1958.  The historical data and a description of the indices, as well as other Australian indices, can be found in D. McL. Lamberton, Share Price Indices in Australia, Sydney: Law Book Co., 1958. Monthly data have been taken from the Sydney Stock Exchange Journal, Australian Stock Exchange Journal, Personal Investing, and SXJ Journal, which are the various journals published by the Sydney and Australian stock exchanges. The All-Ordinaries Price Index was capitalization-weighted using the Paasche formula with chaining, which is adjusted for capitalization changes.  The index includes the top stocks by capitalization, covering about 92% of domestic companies by market value.  Shares should have an aggregate market value of at least 0.02% of all domestic equities on the Exchange, and maintain an average turnover in excess of 0.5% of it quoted shares each month.  Components are reviewed monthly.  In 1995, the index included 70 Mining stocks, 15 Resource stocks and 233 Industrials. In 1980, indices for all shares traded in Australia were introduced to replace the sector indices for Sydney, Melbourne, and Brisbane. Between 1958 and 1979, resource and energy stocks increased their share of the Australian stock exchanges capitalization, and since these shares were not represented by the old Sydney indices, and they were no longer representative of the stock market's behavior.  For this reason, the All-Australia indices were introduced, and these are the indices currently being used.    The new price indices were based at December 31, 1979 = 500 and the accumulation indices are based at December 31, 1979 = 1000; however, where possible we have tied the old Sydney stock exchange indices to the current indices to produce a long-term index. The Small Cap and Large Cap indices have a base of December 31, 1990 = 1000 and the Value and Growth indices have a base of December 31, 1995 = 1000.  Volume data are available for All-Ordinaries, All Industry, and All-Resources from April 1976 on. The Oil and Gas Index uses the old Brisbane Oil Index because there was no oil index for the Sydney exchange. The Statex Price Index has been appended to the 50 Leaders index, and the Statex Accumulation Index has been appended to the All-Ordinaries Accumulation Index. Size indices were introduced in April 1995 which now include the 20 largest companies (20 Leaders), 50 Largest Companies (50 Leaders-over $1 billion market capitalization), second 50 largest companies (Midcap 50, between $400 million and $1 billion), 100 largest companies (ASX-100) and all other companies (Small Cap, less than $400 million).     For more information on the indices, see Australian Associated Stock Exchanges, The Australian Stock Exchange Indices, Sydney: AASE, 1980 and Australian Stock Exchange Limited, ASX Indices & Yields, Sydney: ASX, 1995. Monthly data have been taken from the Sydney Stock Exchange Journal, Australian Stock Exchange Journal, Personal Investing, and SXJ Journal, which are the various journals published by the Sydney and Australian stock exchanges.  The data are also available in the ASX Price and Indices Yearbook, which is published annually by the Australian Stock Exchange.<br />Data from the GFD Indices for Australia, using Australian stocks that were listed in London, is used from 1825 until 1936.  This data for mining and finance stocks is combined with data from Lamberton for Commercial/Industrial stocks from 1875 to 1936 to get an index of Australian stocks.  The dividend yield from the GFD Indices is used to calculate the total return from 1825 to 1936.",,
_OMXHPID,OMX Helsinki All-Share Price Index,Stock Indices - Composites,Finland Markka (Euro from 01/01/1999),Finland,,,,,,,Index Number ,Units,Stock,none,Monthly From Oct 1912 To Dec 1986<BR>Daily From Jan 1987 To Oct 2020<BR>,"The Helsinki Stock Exchange General Index is a capitalization-weighted index consisting of all the stocks traded on the exchange. It is a broad-based index which is broken down into sixteen industry groups. The index was developed with a base level of 1,000 as of December 28, 1990.<br />Data from 1912 to March 1970 uses calculations from Peter Nyberg and Mika Vaihekoski: ""A new value-weighted total return index for the Finnish stock market"". Research in International Business and Finance, 2010, vol. 24, no. 3, 267-283. doi: 10.1016/j.ribaf.2009.12.006. The Value-weighted price index is used.<br />The HEX index is a capitalization-weighted price index of all shares listed on the Helsinki Stock Exchange using the Paasche formula with daily chaining. Adjustments are made for capitalization and component changes. For information on the HEX indices, see Hannu Hernesniemi, ""HEX: the Helsinki Stock Exchange's New Index,"" Finland National Bank Monthly Review (March 1991): 7-11.  Data were calculated back to 1987 when the new index was initiated. The index consisted of 18 bank, industrial and other shares from 1921 to 1932 as published in Finland's Monthly Bulletin.  From 1933 until 1986 the index uses the Unitas index.  This index was a weighted average of price relatives, adjusted for share dividends and rights based upon Friday buying quotations in Helsinki.  The index was compiled by the Pohjoismaiden Yhdyspankki and was based on 9 industrial shares and one bank share through. The indices were revised in the spring of 1960 to include 3 bank and 15 industrial shares, in 1971 to include 3 bank, 17 industrial and 5 commercial shares (Unitas, Vol. 43, No. 4, 1971, pp. 206-208), and in 1977 to ten sectors, including all shares traded on the Helsinki Stock Exchange (61 at the time) (Unitas, Vol. 49, No. 3, pp. 135-138).  The Unitas index is used through December 1986, and the HEX General index is used starting in January 1987.  No data are available from December 1939 until March 1940 due to the war. Volume data are for stocks and bonds from 1931 to September 1966, for stocks only through October 1987, and for stocks and bonds from 1987 on, showing how many 1000 FIM of shares were traded each month. Sources include Statistisches Reichsamt (1921-1932), Unitas (1933-1990), Suomen Pankki (Monthly Bulletin) Helsinki: Suomen Pankki. <br /> Data for the HEX indices are taken from Finland National Bank's Monthly Review. Data before 1987 use the UNITAS sector data. The Helsinki Stock Exchange also calculates the HEX-20, which includes the 20 shares with the highest turnover with share components being selected in January and July. The HEX indices were reorganized and new indices were introduced in January 1997 with data calculated back to June 17, 1996. The old Insurance and Investment index was separated into Insurance and Investment indices. The Other Services index was separated into Transport, Trade and Other Services. Other Industries was broken down into Energy, Food Industry, Construction, Telecommunications and Electronics, Chemicals, Media and Publishing, and Other Industries. The Helsinki Stock Exchange (HEX) indices have a base date of December 28, 1990 = 1000",,
_AAXD,Netherlands All-Share Price Index (w/GFD extension),Stock Indices - Composites,Netherlands Guilder (Euro from 01/01/1999),Netherlands,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1890 To Dec 1913<BR>Monthly From Jan 1914 To Dec 1979<BR>Daily From Jan 1980 To Oct 2020<BR>,"No data are available for the All-Share index from May until August 1940 and from August 1944 to April 1946 when the stock exchange was closed.  The pre-war index was a weighted arithmetic index calculated by the Central Bureau of Statistics and consisted of 50 stocks with a base of 1921-25 = 100, which was a general index of all sectors traded in the Netherlands.  The post-war index was an all-share index as calculated by the Central Bureau of Statistics based upon 27 industrial stocks as well as non-industrial, and was an arithmetic average of daily index prices.  The ANP-CBS All-Share index is used currently. The current all-share index covers 137 shares and has data back-calculated to 1952. Sources include International Statistical Institute (1919-1924), Central Bureau of Statistics, Maandschrift, Amsterdam: CBS (1924-). Data from 1914 to 1918 were calculated by GFD based upon stocks listed on the London Stock Exchange",,
_IBEXD,Madrid SE IBEX-35,Stock Indices - Composites,Spain Peseta (Euro from 01/01/1999),Spain,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1987 To Oct 2020<BR>,"The IBEX-35 is a capitalization-weighted price index of the 35 most traded stocks on the continuous electronic trading system of the 4 Spanish exchanges. It uses the Paasche formula with changing and makes adjustments for capitalization changes, but no price changes for convertible bonds; components are reviewed every six months. Three sector indices are now calculated as well. The base is December 31, 1989 = 3000.",,
_SSMID,Swiss Market Index,Stock Indices - Composites,Switzerland Franc,Switzerland,,,,,,,National Currency,Units,Stock,none,Daily From Jan 1988 To Oct 2020<BR>,"The Swiss Market Index is a capitalization-weighted index of the largest and most liquid stocks traded on the Electronic Bourse System. The equities use free float shares in the index calculation. The SMI was developed with a base value of 1,500 as of June 30, 1988.",,
__OTC__D,NASDAQ Composite Index (w/NQB extension),Stock Indices - Composites,United States Dollar,United States,,,,,,,Index Number ,Units,Stock,none,Weekly From Oct 1938 To Oct 1948<BR>Monthly From Oct 1948 To Mar 1949<BR>Daily From Mar 1949 To Oct 2020<BR>,"NASDAQ initiated its sector indices on February 5, 1971 and all the indices use that date as their base except for the Telecommunications index (formerly the Utilities Index) which was rebased to October 29, 1993 = 200 (the Telecommunications index can be converted into the old Utilities index by multiplying the data by 5.74805).  The indices are capitalization weighted and include all shares traded on the NASDAQ; however, because the indices are capitalization weighted, they act more like large-cap tech indices than small-cap indices since Intel, Microsoft and other shares represent a substantial portion of the NASDAQ index. All the primary NASDAQ indices are provided complete from their beginning. <br /> Prior to the introduction of the NASDAQ indices, the National Quotation Board, which oversees the over-the-counter market, kept two indices of OTC stocks, one of 35 industrials and one of 15 insurance stocks.  The industrial stock average was introduced on November 7, 1948 using the Dow method of price weighting and a divisor using the OTC stocks with the largest market value, largest number of stockholders and the most substantial quotation records.  The index was calculated backwards to October 1, 1938 making calculations on the first, tenth and twentieth of each month. For more information on the NQB/OTC industrials index, see National Quotation Bureau, A New Price Index for the Oldest Securities Market, New York: National Quotation Board, 1948. The insurance index was introduced in 1965 with calculations made back to 1955.   <br /> The NQB indices have been tied to the NASDAQ indices to create a longer daily index than NASDAQ provides, and are given using their original numbers.  The 35 industrials are given three times a month through September 1948, monthly from October 1948 through February 1949, and daily beginning on March 26, 1949.  The Insurance index is daily beginning on February 1, 1965.  For the NASDAQ Composite, we have created a composite of the Insurance (30% weight) and Industrials index (70% weight) from February 1, 1965 until February 5, 1971 and used the industrial index alone prior to February 1965.  Although the NQB continued to collect this index after 1971, these data have not been included in the database because the NASDAQ indices provided more extensive coverage than the two NQB/OTC indices.  The two NQB indices contained the following stocks in 1968: <br /> <br />Industrials: Acme Visible Records, Allyn & Bacon, Inc., American Express Co., American Greetings ""A"", Anheuser-Busch Inc., Arrow-Hart, Inc., Aztec Oil & Gas, Barnes-Hind Pharmaceuticals, Berkshire Hathaway, Inc., Brush Beryllium, Buckbee-Mears, Cannon Mills, Dun & Bradstreet, Economics Laboratory, Grinnell corporation, Hexcel Corporation, Hoover Company, Hyster Company, Inland Container ""A"", Kaiser Steel, Kearney & Trecker, Eli Lilly, Magnetics, Mallinckroot Chemical Works ""A"", Midas International, Nicholson File Co., A.C. Nielson, Noxell Corp, Raychem, O. M. Scott & Sons ""A"", Tampax Inc., Tecumseh Products, Trico Products, United States Envelope, Will Ross. <br /> <br />Insurance:  American General Insurance, American National Insurance, CNA Financial Corp., Combined Insurance Co., Connecticut General Insurance Corp., Crum & Forster, Fidelity Union Life Insurance, Franklin Life Insurance, Hartford Fire Insurance, Jefferson Pilot Corp., Lincoln National Life Insurance, National Life & Accident Insurance, St. Paul Cos., Security life & Trust, U.S. Fidelity & Guaranty Co. <br /> <br /> The data for both indices have been adjusted by one day from their original dates. The NQB indices were based on bid-ask spread data from pink sheets. The data were calculated at the end of the day and reported the next day.  So the data that were reported for April 2 reflected trading that occurred on April 1.  Nasdaq indices, which contain NQB data, have received similar adjustments. <br /> The Nasdaq Composite currently includes over 5,000 companies.  The Bank index includes over 350 banks, the Insurance index about 100 companies, and the Other Finance index includes about 620 credit agencies other than banks, including savings and loan associations, securities and commodity brokers, exchanges and dealers, real estate and holdings investment companies not regulated under the Investment Company Act of 1940. The transportation index includes about 90 railroads, trucking companies, airlines, pipelines (except natural gas), services, such as warehousing, and travel arrangements.  The telecommunications index includes about 150 telecommunications companies, and the industrial index includes about 3,100 agricultural, mining, construction, manufacturing (electronic components), services, and public administration enterprises.   <br /> The base for all the NASDAQ indices is February 5, 1971 = 100 except for the Nasdaq 100 for which the base is January 30, 1985 = 125 and for the Biotech and Computer indices for which the base is November 1, 1993 = 200. The base for the National Market System Indices is July 11, 1984 = 100. All NASDAQ Indices are market value weighted except the NASDAQ-100 Index which is weighted using a modified market capitalization method. The representation of each security in the Index is proportional to its last sale price times the total number of shares outstanding, relative to the total market value of the respective index. <br /> <br />The formula used for determining the Index values is as follows: <br /> <br />Index Level = Current Market Value <br /> <br />Adjusted Base Period Market Value X Base Value <br /> <br />Adjusted Base Period Market Value = Current Market Value After Adjustments <br /> <br />Current Market Value Before Adjustments X Previous Base Period Market Value <br /> <br />The level of an Index will only change as a result of price changes occurring between the opening and closing of the market. Adjustments for securities being added to or deleted from The Nasdaq Stock Market, Inc., or capitalization changes, are adjustments which take place during the system maintenance process which occurs after the market has closed. These adjustments will result in value changes to the current market value and adjusted base period market value, but will not in and of themselves alter the level of an Index. <br /> <br />Stock splits and stock dividends are likewise adjusted for during the system maintenance process. However, the system makes a price adjustment to account for the increased number of shares with the result being that the current market value does not change. As an example, assume that ABC Corp. has 1,000,000 shares outstanding with a last sale price of 20 (market value - $20,000,000) The company has declared a 2 for 1 stock split. During system maintenance on the day prior to the effective date of the split, the system will adjust the shares outstanding to 2,000,000 and will correspondingly adjust the price to 10. Result, the same current market value of $20,000,000. <br /> <br />In the case of cash dividends, no system adjustment is made. Neither the Current Market Value nor the Adjusted Base Period Market Value is adjusted to reflect cash dividends. The index formula relies on market forces to determine the level of the Index.",,
_SPXD,S&P 500/Cowles Composite Price Index (w/GFD extension),Stock Indices - Composites,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Monthly From Jan 1871 To Jan 1918<BR>Weekly From Jan 1918 To Dec 1927<BR>Daily From Jan 1928 To Oct 2020<BR>,"For Data before 1871, please see the file GFUS100MPD<br />After the Dow Jones Averages, the second most historically extensive indices are the Standard and Poor's indices.  Whereas the Dow Jones averages were weighted by price, from the beginning, the S&P indices were weighted by capitalization.  The original indices were introduced by the Standard Statistics Corporation in 1923 covering 233 stocks in 26 sectors.  Data were calculated on a weekly basis back to 1918.  The daily indices were introduced in 1928 and consisted of a 90-stock average including 50 industrials, 20 rails and 20 utilities.  Data were calculated on a weekly basis back to 1926 and 1927.  <br />The Standard and Poor's Composite combines a number of different indices. From 1791 to 1801, GFD has calculated an equal-weighted index using data from 7 banks (Union National Bank of Boston, Massachusetts National Bank of Boston, the First Bank of the United States, Bank of the State of New York, Bank of Pennsylvania, Bank of South Carolina, and the Bank of America), 3 insurance companies (New York Insurance Company, Insurance Co. of Pennsylvania, Insurance Co. of North America) and two transport companies (Philadelphia and Lancaster Turnpike Company and Schuylkill Permanent Bridge Company).<br />Using Walter B. Smith and Arthur H. Cole, Fluctuations in American Business, 1790-1860, Cambridge: Harvard Univ. Press, 1935, the index combines the monthly price indexes of Bank stocks (1802-1815, Bank and Insurance Stocks (February 1815-December 1845), and Rails (1834-1862) from Smith and Cole, ibid.: and Railroads (1863-1870) from Frederick R. Macaulay, The Movements of Interest Rates, Bond Yields and Stock Prices in the United States Since 1856, New York: National Bureau of Economic Research, 1938.  This data is available in USMACRRM<br />GFD has used Smitha nd Cole's data on banks from 1802 to 1833.  Between 1834 and 1863, the file USCFALLM provides data from Smith and Cole. Beginning in 1871, the Cowles/Standard and Poor's Composite index of stocks is used.  The Standard and Poor's indices were first calculated in 1918, and the Cowles Commission back-calculated the series to 1871 using the Commercial and Financial Chronicle. For more information, see Standard and Poor's, Security Price Index Record, New York: Standard and Poor's, 2000 and Cowles Commission for Research in Economics, Common-Stock Indexes, 2nd ed., Bloomington: Principia Press, 1939.<br />High-low-close are available since January 1930 except for 1/2/41-7/30/46, 2/28/47-3/5/47, 10/24/47-10/28/47, 3/5/48-3/10/48, 5/6/49-5/11/49, 12/23/49-1/23/52, 6/27,30/1952, 9/5,8,9/1952.<br />The 90-stock Composite was calculated from 1926 through February 1957 when S&P introduced the S&P 500 stock average including 425 industrials, 25 rails and 50 utilities, weighting the index substantially in favor of the industrials.  S&P did not calculate the 500-stock index prior to March 1957, but used the old 90-share index (as well as the old 50 industrials, 20 rails and 20 utilities indices) to extend the data back to 1928.  The daily closes listed in the Security Price Index Record consist of the 90 stock averages adjusted to the new 1941/43 base from 1926 through February 1957, and the 500 stock averages starting in March 1957.  Similarly, the weekly/monthly data for these indices uses the 90 stock average, rather than the more extensive indices of industrials that included 400 stocks, and were calculated on a weekly rather than a daily basis.<br />The indices were revised again on July 1, 1976 when the rail index was dropped, and was replaced by the Transportation index, and a Financial Index was added.  Until that time, financial shares had been excluded from the S&P 500 because many were over-the-counter stocks making it difficult to calculate exact prices for the averages.  The components were changed from 425 industrials, 60 utilities and 15 rails to 400 industrials, 40 utilities, 20 transportation and 40 financial stocks in 1976.  On April 6, 1988, exact numerical allocations were abandoned allowing the sectoral composition of the S&P 500 index to change as new stocks were removed and added to the S&P 500. Data for the S&P 500 index is theoretical through 1983 and actual, real-time data from January 3, 1984 on. <br /><br /> Where possible, we have included high-low-close data for the indices, which meant readjusting the data for the period prior to March 1957 to the old indices.  High-low-close are currently available for 1930-1941, September 1946-December 1949, and beginning in January 1956.  Other dates have the close only. The primary sources for these data are Standard Statistics Corp., Base Book, New York: Standard Statistics Corp., 1931, Standard and Poor's Security Price Index Record, New York: Standard and Poor's (1940, 1941, 1948, 1955, 1957, 1962, and biannually since then), Standard and Poor's, Outlook, New York: Standard and Poor's (published weekly) and Standard and Poor's, Statistical Service, New York: S&P.  For a detailed history of the components of both the 90 and the 500 stock averages see the current and past issues of the biannual Security Price Index Record published by Standard and Poor's. <br />The original 500 share indices included 90-95% of the capitalization of the New York Stock Exchange providing the most comprehensive index of stocks then available; however, the rapid expansion in Nasdaq and growth in the NYSE has meant that the S&P indices now represent a smaller proportion of total market capitalization than in the past. The Wilshire 5000, Russell 3000 and Investor's Business Daily 6000 all cover substantially more shares than the S&P 500. Nevertheless, the S&P 500 still represents about 75% of the stock market's capitalization.  To update their index, S&P introduced a 400-share Mid-cap index (which was calculated back to 1981), in June 1991, and then introduced a Small Cap 600-share index in October 1994, which was calculated back to December 31, 1993.  The 1500-share Supercomposite was introduced in July of 1995 and calculated back to December 31, 1993.  In January 2002, S&P introduced the S&P 1000 which includes all the stocks in the S&P 400 Midcap and S&P 600 Small Cap Index. Beginning in March 2004, S&P began adjusting their indices so they would reflect the free float on their stock indices rather than the total capitalization.  The free float method reduces the influence of stocks such as Wal-Mart for which 40% of the stock is privately held and not publicly traded.<br />Volume data are for the stocks traded on the NYSE, not for the S&P 500 stocks.",,Split adjusted.
_HSID,Hong Kong Hang Seng Composite Index (with GFD Extension),Stock Indices - Composites,Hong Kong Dollar,Hong Kong,,,,,,,Index Number ,Units,Stock,none,Monthly From Aug 1962 To Nov 1969<BR>Daily From Nov 1969 To Sep 2020<BR>,"The Hang Seng index includes 33 stocks and has a base of July 31, 1964 = 100. Data are monthly through November 1969.  Daily data begin on November 24, 1969. The index was introduced in 1969, and data were calculated back to July 1964 on a monthly basis. The Hang Seng Index is a capitalization-weighted price index, which includes the 33 largest and most liquid stocks on the Hong Kong Stock Exchange, using the Laspeyres formula with daily chaining.  Adjustments are made for capitalization and component changes. Monthly data from the Hong Kong Far Eastern Economic Review Index (HKFEERD) has been appended to the Hang Seng Index prior to July 31, 1964.",,
_FTSED,UK FTSE 100 Index (with GFD Extension),Stock Indices - Composites,United Kingdom Pound,United Kingdom,,,,,,,Index Number ,Units,Stock,none,Monthly From Dec 1978 To Dec 1983<BR>Daily From Jan 1984 To Oct 2020<BR>,"The FTSE 100 includes 100 most highly capitalised blue chip companies, representing approximately 80% of the UK market. Bases are 4/10/1962 = 100 for the FTSE All-Share and Non-Financials, 12/31/1983 = 1000 for the FTSE 100, 12/31/1985 = 682.94 for the FTSE 350 indices, 12/31/1985 = 1412.60 for the FTSE 250, 12/31/1992 = 1363.79 for the FTSE Small Cap, 12/30/1994 = 1000 for the FTSE Fledgling and AIM indices, 12/31/1992 = 1000 for the Total Return Indices, and 12/31/1985 = 1000 for all other indices. The FTSE-100 is a capitalization-weighted price index of the 100 largest UK companies by market value, using the Paasche formula, adjusting for capitalization changes, and reviewing components in March, June, September and December. Data are simulated and monthly through 1983 with daily high-low-close beginning in 1984.",,
