Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CMCOPD,Copper (LME $/Ton),Commodity Prices,United States Dollar,United Kingdom,,,,,,,National Currency,Units,Stock,none,Daily From Jan 1977 To Sep 2020<BR>,Source: London Metal Exchange,
Date,Ticker,Open,High,Low,Close
01/03/1977,CMCOPD,1402,1402,1402,1402
01/04/1977,CMCOPD,1402,1402,1402,1402
01/05/1977,CMCOPD,1403,1403,1403,1403
01/06/1977,CMCOPD,1390,1390,1390,1390
01/07/1977,CMCOPD,1385,1385,1385,1385
01/10/1977,CMCOPD,1384,1384,1384,1384
01/11/1977,CMCOPD,1377,1377,1377,1377
01/12/1977,CMCOPD,1386,1386,1386,1386
01/13/1977,CMCOPD,1399,1399,1399,1399
01/14/1977,CMCOPD,1390,1390,1390,1390
01/17/1977,CMCOPD,1409,1409,1409,1409
01/18/1977,CMCOPD,1420,1420,1420,1420
01/19/1977,CMCOPD,1445,1445,1445,1445
01/20/1977,CMCOPD,1454,1454,1454,1454
01/21/1977,CMCOPD,1457,1457,1457,1457
01/24/1977,CMCOPD,1481,1481,1481,1481
01/25/1977,CMCOPD,1471,1471,1471,1471
01/26/1977,CMCOPD,1469,1469,1469,1469
01/27/1977,CMCOPD,1490,1490,1490,1490
01/28/1977,CMCOPD,1466,1466,1466,1466
01/31/1977,CMCOPD,1440,1440,1440,1440
02/01/1977,CMCOPD,1441,1441,1441,1441
02/02/1977,CMCOPD,1450,1450,1450,1450
02/03/1977,CMCOPD,1465,1465,1465,1465
02/04/1977,CMCOPD,1450,1450,1450,1450
02/07/1977,CMCOPD,1456,1456,1456,1456
02/08/1977,CMCOPD,1460,1460,1460,1460
02/09/1977,CMCOPD,1464,1464,1464,1464
02/10/1977,CMCOPD,1450,1450,1450,1450
02/11/1977,CMCOPD,1434,1434,1434,1434
02/14/1977,CMCOPD,1422,1422,1422,1422
02/15/1977,CMCOPD,1425,1425,1425,1425
02/16/1977,CMCOPD,1439,1439,1439,1439
02/17/1977,CMCOPD,1449,1449,1449,1449
02/18/1977,CMCOPD,1436,1436,1436,1436
02/21/1977,CMCOPD,1446,1446,1446,1446
02/22/1977,CMCOPD,1446,1446,1446,1446
02/23/1977,CMCOPD,1476,1476,1476,1476
02/24/1977,CMCOPD,1480,1480,1480,1480
02/25/1977,CMCOPD,1469,1469,1469,1469
02/28/1977,CMCOPD,1492,1492,1492,1492
03/01/1977,CMCOPD,1504,1504,1504,1504
03/02/1977,CMCOPD,1515,1515,1515,1515
03/03/1977,CMCOPD,1510,1510,1510,1510
03/04/1977,CMCOPD,1518,1518,1518,1518
03/07/1977,CMCOPD,1528,1528,1528,1528
03/08/1977,CMCOPD,1531,1531,1531,1531
03/09/1977,CMCOPD,1527,1527,1527,1527
03/10/1977,CMCOPD,1519,1519,1519,1519
03/11/1977,CMCOPD,1519,1519,1519,1519
03/14/1977,CMCOPD,1532,1532,1532,1532
03/15/1977,CMCOPD,1550,1550,1550,1550
03/16/1977,CMCOPD,1555,1555,1555,1555
03/17/1977,CMCOPD,1571,1571,1571,1571
03/18/1977,CMCOPD,1577,1577,1577,1577
03/21/1977,CMCOPD,1577,1577,1577,1577
03/22/1977,CMCOPD,1575,1575,1575,1575
03/23/1977,CMCOPD,1579,1579,1579,1579
03/24/1977,CMCOPD,1576,1576,1576,1576
03/25/1977,CMCOPD,1568,1568,1568,1568
03/28/1977,CMCOPD,1544,1544,1544,1544
03/29/1977,CMCOPD,1521,1521,1521,1521
03/30/1977,CMCOPD,1523,1523,1523,1523
03/31/1977,CMCOPD,1546,1546,1546,1546
04/01/1977,CMCOPD,1550,1550,1550,1550
04/04/1977,CMCOPD,1559,1559,1559,1559
04/05/1977,CMCOPD,1523,1523,1523,1523
04/06/1977,CMCOPD,1494,1494,1494,1494
04/07/1977,CMCOPD,1484,1484,1484,1484
04/11/1977,CMCOPD,1484,1484,1484,1484
04/12/1977,CMCOPD,1484,1484,1484,1484
04/13/1977,CMCOPD,1490,1490,1490,1490
04/14/1977,CMCOPD,1499,1499,1499,1499
04/15/1977,CMCOPD,1473,1473,1473,1473
04/18/1977,CMCOPD,1449,1449,1449,1449
04/19/1977,CMCOPD,1458,1458,1458,1458
04/20/1977,CMCOPD,1434,1434,1434,1434
04/21/1977,CMCOPD,1405,1405,1405,1405
04/22/1977,CMCOPD,1430,1430,1430,1430
04/25/1977,CMCOPD,1419,1419,1419,1419
04/26/1977,CMCOPD,1399,1399,1399,1399
04/27/1977,CMCOPD,1417,1417,1417,1417
04/28/1977,CMCOPD,1404,1404,1404,1404
04/29/1977,CMCOPD,1389,1389,1389,1389
05/02/1977,CMCOPD,1403,1403,1403,1403
05/03/1977,CMCOPD,1427,1427,1427,1427
05/04/1977,CMCOPD,1425,1425,1425,1425
05/05/1977,CMCOPD,1403,1403,1403,1403
05/06/1977,CMCOPD,1420,1420,1420,1420
05/09/1977,CMCOPD,1413,1413,1413,1413
05/10/1977,CMCOPD,1422,1422,1422,1422
05/11/1977,CMCOPD,1442,1442,1442,1442
05/12/1977,CMCOPD,1433,1433,1433,1433
05/13/1977,CMCOPD,1451,1451,1451,1451
05/16/1977,CMCOPD,1455,1455,1455,1455
05/17/1977,CMCOPD,1458,1458,1458,1458
05/18/1977,CMCOPD,1440,1440,1440,1440
05/19/1977,CMCOPD,1394,1394,1394,1394
05/20/1977,CMCOPD,1403,1403,1403,1403
05/23/1977,CMCOPD,1361,1361,1361,1361
05/24/1977,CMCOPD,1351,1351,1351,1351
05/25/1977,CMCOPD,1359,1359,1359,1359
05/26/1977,CMCOPD,1322,1322,1322,1322
05/27/1977,CMCOPD,1349,1349,1349,1349
05/30/1977,CMCOPD,1318,1318,1318,1318
05/31/1977,CMCOPD,1318,1318,1318,1318
06/01/1977,CMCOPD,1338,1338,1338,1338
06/02/1977,CMCOPD,1339,1339,1339,1339
06/03/1977,CMCOPD,1339,1339,1339,1339
06/07/1977,CMCOPD,1339,1339,1339,1339
06/08/1977,CMCOPD,1339,1339,1339,1339
06/09/1977,CMCOPD,1300,1300,1300,1300
06/10/1977,CMCOPD,1298,1298,1298,1298
06/13/1977,CMCOPD,1296,1296,1296,1296
06/14/1977,CMCOPD,1298,1298,1298,1298
06/15/1977,CMCOPD,1319,1319,1319,1319
06/16/1977,CMCOPD,1331,1331,1331,1331
06/17/1977,CMCOPD,1331,1331,1331,1331
06/20/1977,CMCOPD,1395,1395,1395,1395
06/21/1977,CMCOPD,1395,1395,1395,1395
06/22/1977,CMCOPD,1365,1365,1365,1365
06/23/1977,CMCOPD,1374,1374,1374,1374
06/24/1977,CMCOPD,1379,1379,1379,1379
06/27/1977,CMCOPD,1359,1359,1359,1359
06/28/1977,CMCOPD,1323,1323,1323,1323
06/29/1977,CMCOPD,1340,1340,1340,1340
06/30/1977,CMCOPD,1324,1324,1324,1324
07/01/1977,CMCOPD,1347,1347,1347,1347
07/04/1977,CMCOPD,1275,1275,1275,1275
07/05/1977,CMCOPD,1275,1275,1275,1275
07/06/1977,CMCOPD,1259,1259,1259,1259
07/07/1977,CMCOPD,1274,1274,1274,1274
07/08/1977,CMCOPD,1273,1273,1273,1273
07/11/1977,CMCOPD,1287,1287,1287,1287
07/12/1977,CMCOPD,1294,1294,1294,1294
07/13/1977,CMCOPD,1265,1265,1265,1265
07/14/1977,CMCOPD,1265,1265,1265,1265
07/15/1977,CMCOPD,1265,1265,1265,1265
07/18/1977,CMCOPD,1263,1263,1263,1263
07/19/1977,CMCOPD,1270,1270,1270,1270
07/20/1977,CMCOPD,1276,1276,1276,1276
07/21/1977,CMCOPD,1262,1262,1262,1262
07/22/1977,CMCOPD,1267,1267,1267,1267
07/25/1977,CMCOPD,1272,1272,1272,1272
07/26/1977,CMCOPD,1265,1265,1265,1265
07/27/1977,CMCOPD,1271,1271,1271,1271
07/28/1977,CMCOPD,1255,1255,1255,1255
07/29/1977,CMCOPD,1254,1254,1254,1254
08/01/1977,CMCOPD,1237,1237,1237,1237
08/02/1977,CMCOPD,1231,1231,1231,1231
08/03/1977,CMCOPD,1226,1226,1226,1226
08/04/1977,CMCOPD,1228,1228,1228,1228
08/05/1977,CMCOPD,1226,1226,1226,1226
08/08/1977,CMCOPD,1207,1207,1207,1207
08/09/1977,CMCOPD,1200,1200,1200,1200
08/10/1977,CMCOPD,1198,1198,1198,1198
08/11/1977,CMCOPD,1188,1188,1188,1188
08/12/1977,CMCOPD,1183,1183,1183,1183
08/15/1977,CMCOPD,1164,1164,1164,1164
08/16/1977,CMCOPD,1164,1164,1164,1164
08/17/1977,CMCOPD,1183,1183,1183,1183
08/18/1977,CMCOPD,1169,1169,1169,1169
08/19/1977,CMCOPD,1183,1183,1183,1183
