Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
XPD_D,Palladium (USD per Troy Ounce),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1911 To Dec 1967<BR>Daily From Jan 1968 To Dec 1973<BR>Monthly From Jan 1974 To Dec 1975<BR>Daily From Jan 1976 To Dec 1982<BR>Monthly From Jan 1983 To Jun 1987<BR>Daily From Jun 1987 To Oct 2020<BR>,,
Date,Ticker,Open,High,Low,Close
12/31/1911,XPD_D,55,55,55,55
12/31/1912,XPD_D,55,55,55,55
12/31/1913,XPD_D,50,50,50,50
12/31/1914,XPD_D,44,44,44,44
12/31/1915,XPD_D,56,56,56,56
12/31/1916,XPD_D,67,67,67,67
12/31/1917,XPD_D,110,110,110,110
12/31/1918,XPD_D,135,135,135,135
12/31/1919,XPD_D,130,130,130,130
12/31/1920,XPD_D,108,108,108,108
12/31/1921,XPD_D,59,59,59,59
12/31/1922,XPD_D,60,60,60,60
12/31/1923,XPD_D,75,75,75,75
12/31/1924,XPD_D,94,94,94,94
12/31/1925,XPD_D,79,79,79,79
12/31/1926,XPD_D,70,70,70,70
12/31/1927,XPD_D,58,58,58,58
12/31/1928,XPD_D,46,46,46,46
12/31/1929,XPD_D,40,40,40,40
12/31/1930,XPD_D,24,24,24,24
12/31/1931,XPD_D,18,18,18,18
12/31/1932,XPD_D,18,18,18,18
12/31/1933,XPD_D,18,18,18,18
12/31/1934,XPD_D,23,23,23,23
12/31/1935,XPD_D,23,23,23,23
12/31/1936,XPD_D,23,23,23,23
12/31/1937,XPD_D,23,23,23,23
12/31/1938,XPD_D,23,23,23,23
12/31/1939,XPD_D,23,23,23,23
12/31/1940,XPD_D,24,24,24,24
12/31/1941,XPD_D,24,24,24,24
12/31/1942,XPD_D,24,24,24,24
12/31/1943,XPD_D,24,24,24,24
12/31/1944,XPD_D,24,24,24,24
12/31/1945,XPD_D,24,24,24,24
12/31/1946,XPD_D,24,24,24,24
12/31/1947,XPD_D,24,24,24,24
12/31/1948,XPD_D,24,24,24,24
12/31/1949,XPD_D,24,24,24,24
12/31/1950,XPD_D,24,24,24,24
12/31/1951,XPD_D,24,24,24,24
12/31/1952,XPD_D,24,24,24,24
12/31/1953,XPD_D,24,24,24,24
12/31/1954,XPD_D,21,21,21,21
12/31/1955,XPD_D,22,22,22,22
12/31/1956,XPD_D,24,24,24,24
12/31/1957,XPD_D,24,24,24,24
12/31/1958,XPD_D,17,17,17,17
12/31/1959,XPD_D,19,19,19,19
12/31/1960,XPD_D,25,25,25,25
12/31/1961,XPD_D,25,25,25,25
12/31/1962,XPD_D,25,25,25,25
12/31/1963,XPD_D,25,25,25,25
12/31/1964,XPD_D,31,31,31,31
12/31/1965,XPD_D,33,33,33,33
12/31/1966,XPD_D,34,34,34,34
12/31/1967,XPD_D,38,38,38,38
01/02/1968,XPD_D,37,37,37,37
01/03/1968,XPD_D,37,37,37,37
01/04/1968,XPD_D,37,37,37,37
01/05/1968,XPD_D,37,37,37,37
01/08/1968,XPD_D,37,37,37,37
01/09/1968,XPD_D,37,37,37,37
01/10/1968,XPD_D,37,37,37,37
01/11/1968,XPD_D,37,37,37,37
01/12/1968,XPD_D,37,37,37,37
01/15/1968,XPD_D,37,37,37,37
