Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
__PL_NYD,Platinum Cash Price (US$/Ounce),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1880 To Dec 1901<BR>Monthly From Jan 1902 To Oct 1967<BR>Daily From Oct 1967 To Oct 2020<BR>,Prices are monthly averages taken from the Engineering and Mining Journal (1910-1926) and from American Metal Market (1926-). Current daily prices are market transaction prices in US Dollars per ounce in New York.,
Date,Ticker,Open,High,Low,Close
12/31/1880,__PL_NYD,4,4,4,4
12/31/1881,__PL_NYD,4,4,4,4
12/31/1882,__PL_NYD,5.75,5.75,5.75,5.75
12/31/1883,__PL_NYD,6.02,6.02,6.02,6.02
12/31/1884,__PL_NYD,6.37,6.37,6.37,6.37
12/31/1885,__PL_NYD,6.83,6.83,6.83,6.83
12/31/1886,__PL_NYD,6.83,6.83,6.83,6.83
12/31/1887,__PL_NYD,6.73,6.73,6.73,6.73
12/31/1888,__PL_NYD,8.18,8.18,8.18,8.18
12/31/1889,__PL_NYD,8.1,8.1,8.1,8.1
12/31/1890,__PL_NYD,8.66,8.66,8.66,8.66
12/31/1891,__PL_NYD,11.37,11.37,11.37,11.37
12/31/1892,__PL_NYD,9,9,9,9
12/31/1893,__PL_NYD,9.25,9.25,9.25,9.25
12/31/1894,__PL_NYD,10,10,10,10
12/31/1895,__PL_NYD,10.2,10.2,10.2,10.2
12/31/1896,__PL_NYD,10.2,10.2,10.2,10.2
12/31/1897,__PL_NYD,11.55,11.55,11.55,11.55
12/31/1898,__PL_NYD,17.75,17.75,17.75,17.75
12/31/1899,__PL_NYD,18.5,18.5,18.5,18.5
12/31/1900,__PL_NYD,19.5,19.5,19.5,19.5
12/31/1901,__PL_NYD,20,20,20,20
01/31/1902,__PL_NYD,20.5,20.5,20.5,20.5
02/28/1902,__PL_NYD,19.5,19.5,19.5,19.5
03/31/1902,__PL_NYD,19.5,19.5,19.5,19.5
04/30/1902,__PL_NYD,19.5,19.5,19.5,19.5
05/31/1902,__PL_NYD,19.5,19.5,19.5,19.5
06/30/1902,__PL_NYD,19,19,19,19
07/31/1902,__PL_NYD,19,19,19,19
08/31/1902,__PL_NYD,19,19,19,19
09/30/1902,__PL_NYD,19,19,19,19
10/31/1902,__PL_NYD,19,19,19,19
11/30/1902,__PL_NYD,19,19,19,19
12/31/1902,__PL_NYD,19,19,19,19
01/31/1903,__PL_NYD,19,19,19,19
02/28/1903,__PL_NYD,19,19,19,19
03/31/1903,__PL_NYD,19,19,19,19
04/30/1903,__PL_NYD,19,19,19,19
05/31/1903,__PL_NYD,19,19,19,19
06/30/1903,__PL_NYD,19,19,19,19
07/31/1903,__PL_NYD,19,19,19,19
08/31/1903,__PL_NYD,19,19,19,19
09/30/1903,__PL_NYD,19,19,19,19
10/31/1903,__PL_NYD,19,19,19,19
11/30/1903,__PL_NYD,19,19,19,19
12/31/1903,__PL_NYD,19,19,19,19
01/31/1904,__PL_NYD,19,19,19,19
02/29/1904,__PL_NYD,19,19,19,19
03/31/1904,__PL_NYD,19,19,19,19
04/30/1904,__PL_NYD,19,19,19,19
05/31/1904,__PL_NYD,19,19,19,19
06/30/1904,__PL_NYD,19,19,19,19
07/31/1904,__PL_NYD,19,19,19,19
08/31/1904,__PL_NYD,19.5,19.5,19.5,19.5
09/30/1904,__PL_NYD,19.5,19.5,19.5,19.5
10/31/1904,__PL_NYD,19.5,19.5,19.5,19.5
11/30/1904,__PL_NYD,19.5,19.5,19.5,19.5
12/31/1904,__PL_NYD,19.5,19.5,19.5,19.5
01/31/1905,__PL_NYD,19.5,19.5,19.5,19.5
02/28/1905,__PL_NYD,19.5,19.5,19.5,19.5
03/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
04/30/1905,__PL_NYD,20.5,20.5,20.5,20.5
05/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
06/30/1905,__PL_NYD,20.5,20.5,20.5,20.5
07/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
08/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
09/30/1905,__PL_NYD,20.5,20.5,20.5,20.5
10/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
11/30/1905,__PL_NYD,20.5,20.5,20.5,20.5
12/31/1905,__PL_NYD,20.5,20.5,20.5,20.5
01/31/1906,__PL_NYD,20.5,20.5,20.5,20.5
02/28/1906,__PL_NYD,25,25,25,25
03/31/1906,__PL_NYD,25,25,25,25
04/30/1906,__PL_NYD,25,25,25,25
05/31/1906,__PL_NYD,25,25,25,25
06/30/1906,__PL_NYD,25.4,25.4,25.4,25.4
07/31/1906,__PL_NYD,26,26,26,26
08/31/1906,__PL_NYD,26,26,26,26
09/30/1906,__PL_NYD,32.1,32.1,32.1,32.1
10/31/1906,__PL_NYD,33,33,33,33
11/30/1906,__PL_NYD,35.5,35.5,35.5,35.5
12/31/1906,__PL_NYD,38,38,38,38
01/31/1907,__PL_NYD,38,38,38,38
02/28/1907,__PL_NYD,38,38,38,38
03/31/1907,__PL_NYD,37,37,37,37
04/30/1907,__PL_NYD,32.5,32.5,32.5,32.5
05/31/1907,__PL_NYD,29.5,29.5,29.5,29.5
06/30/1907,__PL_NYD,26.2,26.2,26.2,26.2
07/31/1907,__PL_NYD,26.75,26.75,26.75,26.75
08/31/1907,__PL_NYD,28.125,28.125,28.125,28.125
09/30/1907,__PL_NYD,28.7,28.7,28.7,28.7
10/31/1907,__PL_NYD,27.125,27.125,27.125,27.125
11/30/1907,__PL_NYD,26.3125,26.3125,26.3125,26.3125
12/31/1907,__PL_NYD,26,26,26,26
01/31/1908,__PL_NYD,25.5,25.5,25.5,25.5
02/29/1908,__PL_NYD,25.5,25.5,25.5,25.5
03/31/1908,__PL_NYD,25.5,25.5,25.5,25.5
04/30/1908,__PL_NYD,23.5,23.5,23.5,23.5
05/30/1908,__PL_NYD,22.5,22.5,22.5,22.5
06/30/1908,__PL_NYD,23.5,23.5,23.5,23.5
07/31/1908,__PL_NYD,20,20,20,20
08/31/1908,__PL_NYD,18.75,18.75,18.75,18.75
09/30/1908,__PL_NYD,20,20,20,20
10/31/1908,__PL_NYD,21.5,21.5,21.5,21.5
11/01/1908,__PL_NYD,24,24,24,24
12/01/1908,__PL_NYD,24,24,24,24
01/31/1909,__PL_NYD,24.1,24.1,24.1,24.1
02/28/1909,__PL_NYD,24,24,24,24
03/31/1909,__PL_NYD,23.75,23.75,23.75,23.75
04/30/1909,__PL_NYD,23.5,23.5,23.5,23.5
05/31/1909,__PL_NYD,23.25,23.25,23.25,23.25
06/30/1909,__PL_NYD,22.75,22.75,22.75,22.75
07/31/1909,__PL_NYD,22.43,22.43,22.43,22.43
08/31/1909,__PL_NYD,22.65,22.65,22.65,22.65
09/30/1909,__PL_NYD,25.31,25.31,25.31,25.31
10/31/1909,__PL_NYD,27.75,27.75,27.75,27.75
11/30/1909,__PL_NYD,29.5,29.5,29.5,29.5
12/31/1909,__PL_NYD,29.5,29.5,29.5,29.5
01/31/1910,__PL_NYD,29,29,29,29
02/28/1910,__PL_NYD,28.75,28.75,28.75,28.75
03/31/1910,__PL_NYD,29.13,29.13,29.13,29.13
04/30/1910,__PL_NYD,29.25,29.25,29.25,29.25
05/31/1910,__PL_NYD,29.55,29.55,29.55,29.55
06/30/1910,__PL_NYD,31.38,31.38,31.38,31.38
07/31/1910,__PL_NYD,33,33,33,33
08/31/1910,__PL_NYD,33,33,33,33
09/30/1910,__PL_NYD,33.63,33.63,33.63,33.63
10/31/1910,__PL_NYD,37.5,37.5,37.5,37.5
11/30/1910,__PL_NYD,39.44,39.44,39.44,39.44
12/31/1910,__PL_NYD,38.75,38.75,38.75,38.75
01/31/1911,__PL_NYD,39.06,39.06,39.06,39.06
02/28/1911,__PL_NYD,39.31,39.31,39.31,39.31
03/31/1911,__PL_NYD,41,41,41,41
04/30/1911,__PL_NYD,41.35,41.35,41.35,41.35
05/31/1911,__PL_NYD,42.81,42.81,42.81,42.81
06/30/1911,__PL_NYD,42.88,42.88,42.88,42.88
07/31/1911,__PL_NYD,42.95,42.95,42.95,42.95
08/31/1911,__PL_NYD,44.38,44.38,44.38,44.38
09/30/1911,__PL_NYD,45.31,45.31,45.31,45.31
10/31/1911,__PL_NYD,46.25,46.25,46.25,46.25
11/30/1911,__PL_NYD,46.13,46.13,46.13,46.13
12/31/1911,__PL_NYD,46,46,46,46
01/31/1912,__PL_NYD,46,46,46,46
02/29/1912,__PL_NYD,45.63,45.63,45.63,45.63
03/31/1912,__PL_NYD,45.5,45.5,45.5,45.5
04/30/1912,__PL_NYD,45.5,45.5,45.5,45.5
05/31/1912,__PL_NYD,45.5,45.5,45.5,45.5
06/30/1912,__PL_NYD,45.5,45.5,45.5,45.5
07/31/1912,__PL_NYD,45.5,45.5,45.5,45.5
08/30/1912,__PL_NYD,45.5,45.5,45.5,45.5
09/30/1912,__PL_NYD,45.5,45.5,45.5,45.5
10/31/1912,__PL_NYD,45.5,45.5,45.5,45.5
11/30/1912,__PL_NYD,45.5,45.5,45.5,45.5
12/31/1912,__PL_NYD,45.5,45.5,45.5,45.5
01/31/1913,__PL_NYD,45.5,45.5,45.5,45.5
02/28/1913,__PL_NYD,45.5,45.5,45.5,45.5
03/31/1913,__PL_NYD,45.5,45.5,45.5,45.5
04/30/1913,__PL_NYD,45.5,45.5,45.5,45.5
05/31/1913,__PL_NYD,45.5,45.5,45.5,45.5
06/30/1913,__PL_NYD,45.5,45.5,45.5,45.5
07/31/1913,__PL_NYD,45.5,45.5,45.5,45.5
08/31/1913,__PL_NYD,44.9,44.9,44.9,44.9
09/30/1913,__PL_NYD,43.96,43.96,43.96,43.96
10/31/1913,__PL_NYD,44,44,44,44
11/30/1913,__PL_NYD,43.7,43.7,43.7,43.7
12/31/1913,__PL_NYD,43.45,43.45,43.45,43.45
01/31/1914,__PL_NYD,43.38,43.38,43.38,43.38
02/28/1914,__PL_NYD,43.5,43.5,43.5,43.5
03/31/1914,__PL_NYD,43.5,43.5,43.5,43.5
04/30/1914,__PL_NYD,43.5,43.5,43.5,43.5
05/31/1914,__PL_NYD,43.5,43.5,43.5,43.5
06/30/1914,__PL_NYD,43.5,43.5,43.5,43.5
07/31/1914,__PL_NYD,43.5,43.5,43.5,43.5
08/31/1914,__PL_NYD,50.2,50.2,50.2,50.2
09/30/1914,__PL_NYD,50,50,50,50
10/31/1914,__PL_NYD,49.5,49.5,49.5,49.5
11/30/1914,__PL_NYD,45.45,45.45,45.45,45.45
