Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_SPGSIND,S&P GSCI Industrial Metals Index,Commodity Indices,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Daily From Dec 1976 To Oct 2020<BR>,,
Date,Ticker,Open,High,Low,Close
12/31/1976,_SPGSIND,100,100,100,100
01/03/1977,_SPGSIND,100,100,100,100
01/04/1977,_SPGSIND,100,100,100,100
01/05/1977,_SPGSIND,100,100,100,100
01/06/1977,_SPGSIND,100,100,100,100
01/07/1977,_SPGSIND,100,100,100,100
01/10/1977,_SPGSIND,98.28,98.28,98.28,98.28
01/11/1977,_SPGSIND,99.22,99.22,99.22,99.22
01/12/1977,_SPGSIND,99.84,99.84,99.84,99.84
01/13/1977,_SPGSIND,98.9,98.9,98.9,98.9
01/14/1977,_SPGSIND,99.53,99.53,99.53,99.53
01/17/1977,_SPGSIND,102.04,102.04,102.04,102.04
01/18/1977,_SPGSIND,102.19,102.19,102.19,102.19
01/19/1977,_SPGSIND,103.29,103.29,103.29,103.29
01/20/1977,_SPGSIND,103.45,103.45,103.45,103.45
01/21/1977,_SPGSIND,104.23,104.23,104.23,104.23
01/24/1977,_SPGSIND,104.7,104.7,104.7,104.7
01/25/1977,_SPGSIND,103.29,103.29,103.29,103.29
01/26/1977,_SPGSIND,104.86,104.86,104.86,104.86
01/27/1977,_SPGSIND,103.92,103.92,103.92,103.92
01/28/1977,_SPGSIND,102.98,102.98,102.98,102.98
01/31/1977,_SPGSIND,101.41,101.41,101.41,101.41
02/01/1977,_SPGSIND,102.19,102.19,102.19,102.19
02/02/1977,_SPGSIND,103.45,103.45,103.45,103.45
02/03/1977,_SPGSIND,102.82,102.82,102.82,102.82
02/04/1977,_SPGSIND,103.45,103.45,103.45,103.45
02/07/1977,_SPGSIND,104.55,104.55,104.55,104.55
02/08/1977,_SPGSIND,104.39,104.39,104.39,104.39
02/09/1977,_SPGSIND,103.29,103.29,103.29,103.29
02/10/1977,_SPGSIND,102.04,102.04,102.04,102.04
02/11/1977,_SPGSIND,102.19,102.19,102.19,102.19
02/14/1977,_SPGSIND,102.19,102.19,102.19,102.19
02/15/1977,_SPGSIND,102.51,102.51,102.51,102.51
02/16/1977,_SPGSIND,104.08,104.08,104.08,104.08
02/17/1977,_SPGSIND,103.6,103.6,103.6,103.6
02/18/1977,_SPGSIND,103.6,103.6,103.6,103.6
02/21/1977,_SPGSIND,103.6,103.6,103.6,103.6
02/22/1977,_SPGSIND,105.02,105.02,105.02,105.02
02/23/1977,_SPGSIND,106.11,106.11,106.11,106.11
02/24/1977,_SPGSIND,105.33,105.33,105.33,105.33
02/25/1977,_SPGSIND,106.11,106.11,106.11,106.11
02/28/1977,_SPGSIND,107.99,107.99,107.99,107.99
03/01/1977,_SPGSIND,108.78,108.78,108.78,108.78
03/02/1977,_SPGSIND,108.62,108.62,108.62,108.62
03/03/1977,_SPGSIND,107.68,107.68,107.68,107.68
03/04/1977,_SPGSIND,109.4,109.4,109.4,109.4
03/07/1977,_SPGSIND,108.78,108.78,108.78,108.78
03/08/1977,_SPGSIND,108.93,108.93,108.93,108.93
03/09/1977,_SPGSIND,109.56,109.56,109.56,109.56
03/10/1977,_SPGSIND,108.15,108.15,108.15,108.15
03/11/1977,_SPGSIND,108.78,108.78,108.78,108.78
03/14/1977,_SPGSIND,110.5,110.5,110.5,110.5
03/15/1977,_SPGSIND,111.29,111.29,111.29,111.29
03/16/1977,_SPGSIND,111.13,111.13,111.13,111.13
03/17/1977,_SPGSIND,112.54,112.54,112.54,112.54
03/18/1977,_SPGSIND,113.48,113.48,113.48,113.48
03/21/1977,_SPGSIND,113.17,113.17,113.17,113.17
03/22/1977,_SPGSIND,112.23,112.23,112.23,112.23
03/23/1977,_SPGSIND,112.85,112.85,112.85,112.85
03/24/1977,_SPGSIND,112.23,112.23,112.23,112.23
03/25/1977,_SPGSIND,110.66,110.66,110.66,110.66
03/28/1977,_SPGSIND,108.46,108.46,108.46,108.46
03/29/1977,_SPGSIND,107.05,107.05,107.05,107.05
03/30/1977,_SPGSIND,110.5,110.5,110.5,110.5
03/31/1977,_SPGSIND,110.66,110.66,110.66,110.66
04/01/1977,_SPGSIND,111.44,111.44,111.44,111.44
04/04/1977,_SPGSIND,110.03,110.03,110.03,110.03
04/05/1977,_SPGSIND,105.33,105.33,105.33,105.33
04/06/1977,_SPGSIND,105.96,105.96,105.96,105.96
04/07/1977,_SPGSIND,104.26,104.26,104.26,104.26
04/08/1977,_SPGSIND,104.26,104.26,104.26,104.26
04/11/1977,_SPGSIND,105.39,105.39,105.39,105.39
04/12/1977,_SPGSIND,105.74,105.74,105.74,105.74
04/13/1977,_SPGSIND,106.24,106.24,106.24,106.24
04/14/1977,_SPGSIND,107.68,107.68,107.68,107.68
04/15/1977,_SPGSIND,104.55,104.55,104.55,104.55
04/18/1977,_SPGSIND,104.55,104.55,104.55,104.55
04/19/1977,_SPGSIND,104.39,104.39,104.39,104.39
04/20/1977,_SPGSIND,100.78,100.78,100.78,100.78
04/21/1977,_SPGSIND,102.35,102.35,102.35,102.35
04/22/1977,_SPGSIND,102.66,102.66,102.66,102.66
04/25/1977,_SPGSIND,101.72,101.72,101.72,101.72
