Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_SPGSPMD,S&P GSCI Precious Metals Index,Commodity Indices,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Daily From Dec 1972 To Oct 2020<BR>,"The GSCI is designed to provide investors with a reliable and publicly available benchmark for investment performance in the commodity markets comparable to the S&P 500 or FT equity indices. As such, the GSCI is a composite index of commodity sector returns, representing an unleveraged, long-only investment in commodity futures that is broadly diversified across the spectrum of commodities. The returns are calculated on a fully-collateralized basis with full reinvestment. The combination of these attributes provides investors with a representative and realistic picture of realizable returns attainable in the commodities markets.  Individual components qualify for inclusion in the GSCI on the basis of liquidity and are weighted by their respective world production quantities. The principles behind the construction of the index are public and designed to allow easy and cost-efficient investment implementation. Possible means of implementation include the purchase of GSCI-related instruments, such as the GSCI futures contract traded on the Chicago Mercantile Exchange (CME) or over-the-counter derivatives, or the direct purchase of the underlying futures contracts. The GSCI is world-production weighted; the quantity of each commodity in the index is determined by the average quantity of production in the last five years of available data. Such weighting provides the GSCI with significant advantages, both as an economic indicator and as a measure of investment performance.  For use as an economic indicator, the appropriate weight to assign each commodity is in proportion to the amount of that commodity flowing through the economy (i.e., the actual production or consumption of that commodity). For instance, the impact that doubling the price of corn has on inflation and on economic growth depends directly on how much corn is used (or produced) in the economy. From the standpoint of measuring investment performance, production-weighting is not only appropriate but vital. The key to measuring investment performance in a representative fashion is to weight each asset by the amount of capital dedicated to holding that asset. In equity markets, this representative measurement of investment performance is accomplished through weighting indices by market capitalization.  For commodities, there is no direct counterpart to market capitalization. The problem is that commodities, and the related price risks, are held in a variety of ways - long futures positions, over-the-counter investments, long-term fixed-price purchasing contracts, physical inventory at the producer, etc. - making a complete accounting of capital dedicated to holding commodities from the time they are produced to the time they are consumed infeasible. A simple way to achieve a close analogue to true market capitalization, abstracting from differences in inventory patterns, is to note that the net long position of the economy is proportional to the quantity produced - hence, production weighting. The GSCI Total Return Index measures a fully collateralized commodity futures investment that is rolled forward from the 5th to the 9th business day of each month.  Currently the GSCI includes 24 commodity nearby futures contracts.  The GSCI Total Return Index is significantly different than the return from buying physical commodities.  The GSCI spot index tracks the price of the nearby futures contracts, not returns available to investors.  At the end of every business day, the GSCI is composed of the same proportions by weight of the underlying commodities and expirations as the portfolio represented by the GSCI excess returns. Most importantly, the GSCI Spot Index cannot be compared directly to the GSCI Total Return Index, either conceptually or with a single mathematical operation. On the first point, you CANNOT add t-bills to the spot return in order to draw a comparison with the GSCI Total Return. In fact there is nothing you can do to make a direct comparison between the spot and total return indices. This is because they are measuring two very different kinds of investments.  Meanwhile, the GSCI Excess Return measures the return from investing in nearby GSCI futures and rolling them forward each month (on the 5th - 9th business days of each month) always keeping your investment in nearby futures. This is a leveraged futures investment. The GSCI Excess return (unlike the S&P Excess Return ) is NOT the return above cash. The GSCI Excess Return cannot be compared directly to the GSCI Total Return either. The GSCI Excess Return plus T-bills does not equal the GSCI Total Return because it ignores the impact of the re-investment of Tbill collateral yield gains back into commodity futures and gains (losses) from commodity futures back into (out of) Tbills.",
Date,Ticker,Open,High,Low,Close
12/31/1972,_SPGSPMD,100,100,100,100
01/02/1973,_SPGSPMD,100,100,100,100
01/03/1973,_SPGSPMD,100,100,100,100
01/04/1973,_SPGSPMD,100,100,100,100
01/05/1973,_SPGSPMD,100,100,100,100
01/08/1973,_SPGSPMD,99.32,99.32,99.32,99.32
01/09/1973,_SPGSPMD,98.49,98.49,98.49,98.49
01/10/1973,_SPGSPMD,99.32,99.32,99.32,99.32
01/11/1973,_SPGSPMD,99.66,99.66,99.66,99.66
01/12/1973,_SPGSPMD,100.1,100.1,100.1,100.1
01/15/1973,_SPGSPMD,99.02,99.02,99.02,99.02
01/16/1973,_SPGSPMD,105.13,105.13,105.13,105.13
01/17/1973,_SPGSPMD,98.14,98.14,98.14,98.14
01/18/1973,_SPGSPMD,99.12,99.12,99.12,99.12
01/19/1973,_SPGSPMD,98.19,98.19,98.19,98.19
01/22/1973,_SPGSPMD,95.75,95.75,95.75,95.75
01/23/1973,_SPGSPMD,95.9,95.9,95.9,95.9
01/24/1973,_SPGSPMD,96.83,96.83,96.83,96.83
01/25/1973,_SPGSPMD,96.83,96.83,96.83,96.83
01/26/1973,_SPGSPMD,96.24,96.24,96.24,96.24
01/29/1973,_SPGSPMD,97.66,97.66,97.66,97.66
01/30/1973,_SPGSPMD,98.93,98.93,98.93,98.93
01/31/1973,_SPGSPMD,99.95,99.95,99.95,99.95
02/01/1973,_SPGSPMD,99.9,99.9,99.9,99.9
02/02/1973,_SPGSPMD,100.24,100.24,100.24,100.24
02/05/1973,_SPGSPMD,103.42,103.42,103.42,103.42
02/06/1973,_SPGSPMD,102.69,102.69,102.69,102.69
02/07/1973,_SPGSPMD,104.38,104.38,104.38,104.38
02/08/1973,_SPGSPMD,107.06,107.06,107.06,107.06
02/09/1973,_SPGSPMD,105.97,105.97,105.97,105.97
02/12/1973,_SPGSPMD,105.97,105.97,105.97,105.97
02/13/1973,_SPGSPMD,110.9,110.9,110.9,110.9
02/14/1973,_SPGSPMD,112.3,112.3,112.3,112.3
02/15/1973,_SPGSPMD,110.64,110.64,110.64,110.64
02/16/1973,_SPGSPMD,109.52,109.52,109.52,109.52
02/19/1973,_SPGSPMD,109.52,109.52,109.52,109.52
02/20/1973,_SPGSPMD,112.21,112.21,112.21,112.21
02/21/1973,_SPGSPMD,112.5,112.5,112.5,112.5
02/22/1973,_SPGSPMD,117.38,117.38,117.38,117.38
02/23/1973,_SPGSPMD,118.11,118.11,118.11,118.11
02/26/1973,_SPGSPMD,117.53,117.53,117.53,117.53
02/27/1973,_SPGSPMD,121.58,121.58,121.58,121.58
02/28/1973,_SPGSPMD,124.51,124.51,124.51,124.51
03/01/1973,_SPGSPMD,129.39,129.39,129.39,129.39
03/02/1973,_SPGSPMD,126.95,126.95,126.95,126.95
03/05/1973,_SPGSPMD,122.07,122.07,122.07,122.07
03/06/1973,_SPGSPMD,117.19,117.19,117.19,117.19
03/07/1973,_SPGSPMD,115.48,115.48,115.48,115.48
03/08/1973,_SPGSPMD,118.7,118.7,118.7,118.7
03/09/1973,_SPGSPMD,115.72,115.72,115.72,115.72
03/12/1973,_SPGSPMD,110.84,110.84,110.84,110.84
